Id,SalePrice
2658,137835.9247
2718,173592.4326
2414,210013.2734
1989,112760.2174
625,180493.5591
333,83966.2336
1327,94049.7834
858,146808.1892
95,185291.7389
1568,146355.854
2482,166816.4087
1364,114415.3329
2584,149460.669
818,283747.0344
2673,159801.9672
2089,128212.6081
1297,151238.908
790,113593.4078
2616,190778.3214
720,213961.8311
222,142496.3327
557,125602.4482
1148,199840.5158
2766,166164.381
534,187853.6122
1452,109911.7824
630,134642.7113
2648,147994.3777
125,169125.8527
1904,32359.792
1670,97904.1916
756,95826.2378
717,255607.5199
1032,159463.2498
852,213258.1973
1731,166786.725
2639,126285.2507
2071,52908.406
1267,120615.216
1851,191226.5933
567,159523.4178
2439,207979.3642
1898,143007.0533
647,174241.7125
2256,234741.1663
979,90450.4262
1444,223418.1986
2485,118876.0779
157,111717.3897
88,125776.1035
2003,117278.6184
186,230336.7076
1425,270324.9589
2695,127678.8499
738,123211.8934
395,140121.3303
1353,175293.9801
1878,146290.5474
390,152374.6188
1456,260138.721
1103,347519.3227
1387,148117.0884
2070,141410.6056
1199,174271.2091
2479,179098.954
501,321551.3303
2362,89859.244
1718,220736.3889
2188,78897.0591
1483,174837.3527
2557,84992.6652
437,364200.9693
2224,204119.8258
1628,181512.8383
397,131690.0558
587,208265.2811
2182,613497.0265
971,138175.3568
2611,159077.883
1887,80272.5452
2399,373738.0168
2148,206160.9515
304,124303.5839
1997,135431.6412
2817,105125.2096
1431,182930.3007
427,335449.4394
263,107493.0511
598,185448.7357
2895,236486.1615
687,138127.2897
1822,132112.5894
2191,104033.8337
179,118511.8726
1009,219118.1909
2010,107946.2163
1991,151200.9893
1411,181702.8861
1721,224727.7435
1144,187853.8763
593,213711.8512
575,313629.6091
1249,179507.0162
1604,115569.2319
1064,453327.1716
1923,167750.1882
1988,101241.0691
2325,173611.8766
114,224106.5951
2700,173254.2342
217,136885.5209
343,180375.4662
386,223320.6937
2005,104461.2896
2908,127355.3679
1814,256887.8655
2446,496558.256
208,145798.5987
1679,98983.1079
822,350561.1294
6,189262.367
1781,406543.4663
2397,299950.9505
2340,287007.6967
1618,157556.2527
2843,167287.4752
1061,363501.4134
2786,114120.3059
1935,129179.6597
1341,114394.1297
521,282952.0873
2136,123863.7729
996,185353.1718
227,134136.3039
135,184169.9733
1167,147073.5105
294,233331.85
1776,189562.2429
540,181845.5742
1717,216880.8381
2303,119689.1574
116,181406.0044
127,126007.2297
1371,131517.2356
1014,174285.0496
1507,80499.8474
702,142174.7841
750,149809.5653
261,152928.6604
1559,65551.8261
577,217044.5006
2812,195503.2727
2080,171690.4658
1368,118591.5251
2376,127602.8362
659,121023.8165
1235,133611.4964
332,75228.2276
1917,142516.4908
2094,263112.2451
1460,256584.5207
1471,217142.2665
1509,118220.0231
1922,120056.3081
433,456313.2805
460,266064.4738
1116,250896.4431
1137,170949.8802
53,177248.9052
2354,256633.1493
1475,190994.2506
1761,516267.5329
842,132510.6512
2739,187856.6808
2509,157423.6109
1007,211058.6433
2610,181231.3043
1952,101047.2674
2719,175040.8239
2921,83514.1905
1966,139999.3612
292,145581.1899
1204,194294.1304
1829,234513.4415
2419,181671.5273
391,142528.58
798,120986.6515
481,205152.0076
193,206980.4645
555,105089.1269
899,43151.0863
2357,166126.4588
328,133378.6442
1356,109578.7441
1154,103446.6171
1730,176904.0896
2249,147364.1458
1119,288075.9372
2856,142121.1571
1394,133022.9828
2587,117133.606
61,315975.8917
2661,176800.6318
2711,129959.392
1147,194221.5964
757,142779.8601
2623,68732.549
2378,130637.6165
1413,148435.5523
1722,214858.4595
1112,239633.03
1623,184664.0767
1201,195162.3024
1513,119793.4534
957,410421.2896
1171,279033.9456
1145,200546.1921
2726,229723.7985
703,138125.2485
760,117009.6381
1964,134398.5046
2512,181775.3948
159,161064.2896
1281,171506.3787
468,191458.5251
290,113212.5255
665,109010.3674
1463,244878.2721
1792,232189.242
923,156254.3608
500,295093.6338
1408,179491.0187
331,71216.7166
170,159517.967
2192,92493.658
2571,315463.6758
2314,169262.3226
2647,89278.9851
422,426755.7619
2457,381903.6176
1838,196159.3478
2805,237723.0974
1645,135588.4168
1711,300643.9644
2825,246909.9351
322,336516.8857
2103,278595.5045
342,125997.9936
600,100171.6899
488,171198.6663
1725,295734.008
2246,278760.0594
2847,160701.7089
806,243725.0463
530,225288.6388
963,183296.8911
2678,104922.8375
171,87454.5193
2401,419013.4369
805,223952.4784
2259,240881.3267
1748,185559.6559
1361,144087.7876
1677,125498.0396
1406,158157.4123
2322,232628.2862
688,154056.9227
143,149184.692
804,212078.2494
1214,166294.5781
2828,147546.4894
1999,203686.2078
2467,182288.5629
2665,164079.0912
1538,356061.0402
398,99244.542
2822,146241.4447
2157,170952.183
1856,199081.9089
1269,82788.1714
2570,126708.6866
2320,252962.1773
1517,120387.0423
2304,111632.7668
1312,96719.558
2012,134449.0031
506,247030.9602
2865,191897.4752
2367,112125.2896
554,91905.7176
238,141556.3654
1954,103860.3042
2488,119599.3256
2291,82381.6536
1969,84417.4503
2725,167984.3805
1482,174837.3527
2763,209324.2203
503,252025.3683
1584,256493.0594
1531,151303.0004
2210,170962.3837
459,317729.9086
556,116347.8426
1347,142737.1329
1290,73242.9384
1388,101163.7113
1571,332445.9905
2754,199921.3118
765,151213.1198
2494,126060.6555
